user_id,nim,jurusan,angkatan,line_id,whatsapp,created_at,updated_at
user-23,20007310,Sistem Informasi,2020,line_victoria_blair,+628639225743,2024-09-24T13:16:21.352556,2026-01-28T08:33:05.196983
user-24,20017904,Teknik Industri,2021,line_drs._maras_mulyani,+628259598102,2025-03-19T03:53:28.182525,2025-12-17T03:56:32.583260
user-25,20023931,Teknik Informatika,2022,line_david_dalton,+628414001466,2026-04-21T14:10:01.363788,2026-05-07T21:24:49.616466
user-26,20031894,Sistem Informasi,2023,line_cody_parker,+628444234897,2024-12-25T01:59:23.275281,2025-12-08T19:04:05.845509
user-27,20043298,Teknik Elektro,2024,line_ir._umi_andriani,+628391971885,2024-09-17T17:38:20.418578,2025-12-02T17:01:48.227645
user-28,20006261,Teknik Informatika,2020,line_kacung_sudiati,+628955502728,2025-12-10T12:57:06.685483,2025-11-28T21:55:27.949507
user-29,20017518,Teknik Industri,2021,line_selena_higgins,+628169182974,2026-06-21T20:46:23.075190,2025-11-21T21:21:09.634443
user-30,20026620,Teknik Informatika,2022,line_roy_adams,+628086111974,2024-10-28T10:07:41.723223,2026-04-04T02:47:24.895995
user-31,20034394,Akuntansi,2023,line_usyi_suryono,+628987770252,2025-10-22T07:35:24.086906,2026-06-16T03:50:07.970615
user-32,20045291,Teknik Komputer,2024,line_nicole_carr,+628430313329,2026-08-04T17:59:44.605642,2026-03-08T19:45:01.949243
user-33,20009018,Teknik Elektro,2020,line_suzanne_clarke,+628897746092,2025-11-05T04:08:48.527130,2026-06-20T10:09:19.485407
user-34,20012706,Manajemen,2021,line_puti_yani_irawan,+628722344151,2026-07-23T04:32:49.968974,2026-07-08T04:35:07.661140
user-35,20024051,Teknik Komputer,2022,line_thomas_haley,+628044149520,2025-04-17T20:15:04.012455,2026-05-03T14:05:19.249233
user-36,20039464,Akuntansi,2023,"line_tgk._marwata_simanjuntak,_s.pt",+628670184530,2026-02-17T04:42:01.743904,2026-03-16T15:58:13.040313
user-37,20048264,Teknik Komputer,2024,line_marilyn_mullins,+628846193536,2024-12-19T21:35:20.095522,2025-09-11T07:45:47.141033
user-38,20003307,Manajemen,2020,line_rebekah_king,+628711400073,2026-02-28T00:41:08.464304,2026-02-14T03:44:51.888906
user-39,20018226,Akuntansi,2021,line_kayla_curtis,+628727784554,2025-02-15T07:51:47.749634,2025-09-08T00:38:11.411891
user-40,20029650,Teknik Elektro,2022,line_joseph_morris,+628637876586,2026-07-21T00:05:25.924520,2026-06-14T17:32:48.366855
user-41,20039859,Teknik Industri,2023,line_jason_thomas,+628257060932,2025-09-24T19:18:25.985542,2025-12-29T03:09:00.265723
