user_id,type,provider,provider_account_id,refresh_token,access_token,expires_at,token_type,scope,id_token,session_state
user-1,oauth,microsoft,ca9965e7-c6e3-469e-854b-126f44d16807,c61f0734-2bd3-421b-b7b4-793e2d45c465,47131b2a-3990-471b-82f7-f716485b359e,1672471804,Bearer,read:user user:email,eb131251-97b1-4c90-9919-cac3fe2fe448,e77c68bb-df6c-49fb-9ff7-bd2938518cda
user-2,oauth,microsoft,3d4691f9-a927-4eff-a0e8-d7791ed61250,c602e13f-c113-408c-8bd8-cf093f0addec,ccaa244b-40ef-4571-8c68-9fdefaa8e09d,1644339542,Bearer,read:user user:email,7f97cbd0-01ba-43ea-8acf-9b547deabd93,58f1509f-d033-4897-b3b7-862295f2893c
user-3,oauth,google,ba767f51-012f-459e-aaea-b8fa389cc327,a3e2c266-cf46-4454-ab6e-5fccec2192b5,2284885a-0406-4f1c-ad2f-2aaf4b1971e4,1691538997,Bearer,read:user user:email,c903c9d1-f294-4614-82b4-cb31e15a8d20,770b1f60-9271-45c9-9f43-739b7ae202df
user-4,oauth,google,75353128-838d-44ab-9444-f0a13fe55014,b40d571d-f720-4623-918d-5ba0cc9d9dc9,666ed77d-3810-4715-a7eb-33c024e8e0ec,1651183320,Bearer,read:user user:email,cad0499d-fb03-4f84-a186-0011afaae58b,1bada0aa-9479-4d52-92a3-6c1e9dc2dad8
user-5,oauth,google,a8b6da3a-d873-45a5-9713-289f75fc4d53,0f0c8351-f495-40fd-8f37-4a15b3aec6c1,618759a6-91c2-4dfa-8cc4-df4f7c97bfea,1680668216,Bearer,read:user user:email,8227f817-f505-4482-a758-5e4750551a36,5263b88e-1eea-4bda-a670-e69f58ce94db
user-6,oauth,microsoft,148784d8-15a4-4df5-9ed4-22611c643dbb,c5341220-e9d1-453f-b7b5-8a47df7cd886,ebdd77d4-46f9-42d9-af86-83485afd81f8,1695130285,Bearer,read:user user:email,a145f9d0-b485-46d1-85a5-7d967ea52ea0,f2016c45-d125-4d33-9491-79a2c0ff7671
user-7,oauth,microsoft,516c7056-c232-41d1-b3ee-1965b8ed2217,663f54ef-b390-4c43-9695-7a750b8c4f4e,60255f8b-e22a-4ba8-8dbc-e8241d6acb6e,1688935641,Bearer,read:user user:email,3e4a4ea7-f8a0-42cf-87f5-2bdffd678f3a,e516b4c5-fb47-4064-95e0-9e1b92c1a2c3
user-8,oauth,microsoft,d0ea1a01-8baf-4f2c-a16e-660988b56dda,03fb87af-d623-46ce-a9c8-00a1374ced2c,d4fb1c05-5097-40de-8abf-22cd5602fd93,1697024504,Bearer,read:user user:email,ed792bd7-b066-4ac6-9f48-828c30cae432,92a8f3a7-bf93-4792-94e7-b2eaaa75b75f
user-9,oauth,google,57847592-87df-48bc-b17e-1d5bc35bc806,3287f1cd-fc1f-488a-bf45-1057416162bf,d09abff1-1196-4f5f-9025-8b1c120d1e20,1664363334,Bearer,read:user user:email,b5c4927b-998f-45d3-903d-8752ec7889d3,3a96e9fa-5c88-428a-b9f4-42cb664e47fc
user-10,oauth,google,85b084f9-d91c-457d-bb3d-a01423387338,e289f8d3-0562-4c76-92b0-f1a7031c1893,073710ee-ae62-4ee3-b1a3-e0e1967a562a,1696481614,Bearer,read:user user:email,848ac931-6f7e-4770-bbf8-4e8f0a117df9,41b08f7a-e90c-4fd7-a0ea-62770adc516d
user-11,oauth,microsoft,3210f089-5fc2-4942-a56d-aed8af6be1d5,9433fd86-b392-48b4-8095-56bfe1544a21,589e1685-12c0-4a69-8462-43acbf0fb57f,1663239728,Bearer,read:user user:email,ca448b3b-a2c7-4b6f-b931-877660e86d14,9e38de04-6261-4b2b-8055-74c61287bb18
user-12,oauth,microsoft,2ce75004-13ca-4901-ad03-6dbb1a7cfcc9,adf517da-f956-4e0c-9e63-a9aa353fd00e,d538f9ec-1d1e-4bed-b36c-91b86bc5a599,1646105539,Bearer,read:user user:email,3d0c2f07-b633-49e4-90f3-113cfac9d023,8a06f03c-aef7-4224-bb1f-f9168041be2f
user-13,oauth,microsoft,859b6bda-8749-4faa-b58b-0d633dbf36cd,021d5c16-4085-4a85-80b8-a7ee7ea436ea,3a0cf026-f924-4df6-bac3-8b22dd353b13,1666305970,Bearer,read:user user:email,7fcf587a-e727-41e8-9218-c98f32e920b7,0fa2f747-580c-4289-9f55-53fdfa51f41b
user-14,oauth,github,a251df2a-5892-45d6-aa31-256ceab6c8f4,5946dafc-56d0-4eee-a52c-fce8d1c89e24,4117934c-dcc2-48a7-8bab-0e43fb28cfba,1648254600,Bearer,read:user user:email,0b67fdc0-5b7f-4e9a-b641-d73314067fa5,7dc1308c-08ea-479e-bce0-f110a2c4cc49
user-15,oauth,github,d5620df3-5291-4808-9f5a-cf61fedf6b94,8219286f-4d2c-4bd7-aebe-aa70a93a4809,332be0c8-d4b8-4f07-80fc-c6d6b2f05be4,1660724809,Bearer,read:user user:email,33408c16-98b2-4306-a772-06d37a222d80,67105bf4-8aaf-4c45-aea3-59c72b0ee2dc
user-16,oauth,microsoft,dbec8641-51ac-4c46-8df8-fee381268213,bcbbcad8-9f66-409c-a009-98142233b5aa,c104e85f-ff0f-42f7-97af-bc04f5d41566,1670383181,Bearer,read:user user:email,58da6b20-14e1-4ae6-90ae-0b02f2b28f4b,59661ad8-25f2-47be-a12f-f790d4b86d96
user-17,oauth,microsoft,91ed1379-6f0f-4b27-82a7-cdc68966d0b1,6810727c-1712-4ff3-92ee-8538eae4c33c,cd00e743-98f8-4c65-ba42-d13abf3a1356,1655602671,Bearer,read:user user:email,18e4954c-afc0-47b2-a119-a890b203f8e2,73e8b21c-728f-46cd-97d8-9feb148a4970
user-18,oauth,microsoft,95a03d1e-7d2d-48f1-b628-23e963679e61,7a1c9c2c-5647-4228-9d5b-d44386247ca9,10321bf0-41e7-4ad3-afcc-82e2bd5f21d4,1648866389,Bearer,read:user user:email,08629fca-a9ad-4ff3-aabf-ba106d89fba9,a818f29b-313c-478a-a38d-b2238411a146
user-19,oauth,microsoft,eeec22f4-8b67-4f09-af9e-9e0bafd03cfa,d8302b23-370e-4fef-a1a0-45e8d0a8f351,5b81a7cd-bb05-42ad-aa3f-45a8327a4869,1683080609,Bearer,read:user user:email,cbeae22e-e795-4610-9a65-cd0f8160ef9c,5e293494-1ca1-4987-9c5e-9b9f4ade9948
user-20,oauth,microsoft,9da7a1d3-38cf-4507-a2c7-3a527cd0156c,85c3d157-594a-4b8f-9b80-b071abf9544f,6a73e8b9-3c21-4c5c-90c3-2a313c741d0e,1666502679,Bearer,read:user user:email,4c5988f4-073f-4237-86ab-2b7c62bb53cf,43939e20-46a4-4250-83fc-f3be8815b091
user-21,oauth,microsoft,bdc0d819-fcb5-4262-ab2a-a61636343a3c,c1116576-130a-459c-b560-42ff4da70a92,d21f9d6b-6e60-4f60-a925-6ff7f7bd3d91,1671578976,Bearer,read:user user:email,f881e1e3-296e-4aff-8175-2be0ea75fcbe,6ff541c2-480d-4259-8f46-a0f3ebbaab6e
user-22,oauth,google,732f52f2-f223-4def-8480-551c02734776,f79403c1-4291-4c17-9bef-a3740ebae677,d3a87d2f-1c0c-43a3-8a58-a5911636d5b8,1646801634,Bearer,read:user user:email,115da363-14d3-49a2-bd72-4e027329bf17,39e98912-deef-4bb8-88e6-aee4a6c3777c
user-23,oauth,microsoft,281a1691-dcad-463d-bdce-03548b11ba84,0e580929-9d96-4125-80cc-197e5924c55f,c8e0d0b4-cc12-4ab3-8516-61cf99990cde,1665123110,Bearer,read:user user:email,c957cc8d-f5f1-4fe4-95bd-316256f386d6,8a9b0b78-70fa-4441-a324-532db23356da
user-24,oauth,google,7477ba00-eeaa-4ee3-b4c8-567c4a50aedf,5a1d2412-dc63-4094-a301-f332b86b5cb0,e0f97e8b-a478-41a5-aa4d-fce26b5b18df,1647184051,Bearer,read:user user:email,7c140684-b841-4213-b9c4-c77d00bceac1,8d441f29-7369-4a89-8758-e61ef236f115
user-25,oauth,github,8a8470cb-3894-4ceb-8c21-656f2e4bcb69,ad81db2e-d1e6-4d6d-902a-b7da43c49392,02cb4406-c5bc-4756-8911-bbf1031fc036,1644999337,Bearer,read:user user:email,0edc3c06-3456-4364-88e1-2950da7118ac,21f4da1a-ae1b-4e1d-b9fe-0cbe182a9069
user-26,oauth,github,a4e70932-8b80-44f7-8e01-bc42d16b4d89,06bc7041-ac27-4bdb-bf54-b1a6b3656b00,9a6bdb89-81bf-4b41-b9ee-2754670efbff,1649045324,Bearer,read:user user:email,35b76165-4ea5-4b7a-8b99-cc4ba34ab9e1,a17c65cc-565d-4054-a935-9282a34fb047
user-27,oauth,microsoft,96fe2403-10a3-4c03-ad28-0081ccaffe4b,2c0511a4-143a-479d-ba3e-5f863776be7a,6280d6dd-0e0e-4239-b503-3d58b343aeeb,1690213302,Bearer,read:user user:email,df46981f-1aa7-4b8c-b674-ff920b0045c6,7cbab6d2-fcae-48fd-82b1-637926f8eac0
user-28,oauth,google,7447bbe1-9464-4696-a62d-dd3ceccdd1ec,e50755ad-379d-40c3-b65d-77a2cb6f8cc3,ad594a12-5387-4e8d-8951-69c1c8f65eff,1664393110,Bearer,read:user user:email,23037d59-c6ca-4995-8296-c5e2eadd2da6,8d210c2b-24f7-4067-95b7-9c5dbde84921
